TimeStep,NominalState1,NominalState2,NominalState3,UncompensatedState1,UncompensatedState2,UncompensatedState3,EstimatedState1,EstimatedState2,EstimatedState3,ExactState1,ExactState2,ExactState3,UncompensatedWeightedDeviation,EstimatedWeightedDeviation,ExactWeightedDeviation
125,0.811431277275008,0.729374122105872,0.131654557611719,0.797411033626031,0.715407281578907,0.166827632036252,0.811513030356935,0.729434162578723,0.131665047930192,0.811431277275008,0.729374122105872,0.131654557611719,0.0403582089636803,0.000101972896233844,0
126,0.796801761459541,0.716224037148428,0.129280921686271,0.782751015005298,0.702229778456243,0.16444904703693,0.796883668837068,0.716284216313515,0.129291437039173,0.796801761459541,0.716224037148428,0.129280921686271,0.0403739989714286,0.000102180835045488,0
127,0.782436005177087,0.703311038656726,0.126950080690259,0.768355305860973,0.6892898561289,0.162113346195247,0.782518064068377,0.703371354013529,0.126960620626238,0.782436005177087,0.703311038656726,0.126950080690259,0.0403895394091562,0.000102385028966169,0
128,0.768329253034666,0.690630852134634,0.124661263062234,0.754219140884996,0.676583231188343,0.159819756341035,0.768411460708036,0.690691301227714,0.124671827138075,0.768329253034666,0.690630852134634,0.124661263062234,0.0404048334826719,0.000102585545344306,1.38777878078145e-17
129,0.754476835375649,0.678179280152001,0.122413711151439,0.74033784068442,0.664105697452703,0.157567518243819,0.754559189148666,0.678239860570192,0.122424298931918,0.754476835375649,0.678179280152001,0.122413711151439,0.0404198843882675,0.000102782450320525,0
130,0.74087416673398,0.665952200955231,0.120206680967005,0.726706810232412,0.651853124574452,0.155355886361499,0.740956663972575,0.666012910330836,0.120217292024745,0.74087416673398,0.665952200955231,0.120206680967005,0.0404346953110555,0.000102975808850705,0
131,0.727516744316273,0.653945567102898,0.118039441931681,0.713321537347178,0.639821456673174,0.153184128593554,0.727599382433865,0.654006403110908,0.118050075847009,0.727516744316273,0.653945567102898,0.118039441931681,0.0404492694234111,0.000103165684725832,1.38777878078145e-17
132,0.714400146511271,0.642155404125958,0.115911276639989,0.700177591198324,0.628006710992986,0.151051526038704,0.714482922967914,0.642216364483284,0.115921933000799,0.714400146511271,0.642155404125958,0.115911276639989,0.040463609883508,0.000103352140593954,0
133,0.701520031426189,0.630577809212122,0.113821480620751,0.68727062084014,0.616404976584164,0.148957372756935,0.70160294372773,0.630638891676836,0.113832159022368,0.701520031426189,0.630577809212122,0.113821480620751,0.0404777198339473,0.000103535237979669,0
134,0.688872135449438,0.619208949913939,0.11176936210389,0.674596353771329,0.605012413008533,0.146900975535819,0.688955181146693,0.619270152284533,0.111780062148934,0.688872135449438,0.619208949913939,0.11176936210389,0.0404916024004736,0.000103715037303791,0
135,0.676452271839268,0.608045062880175,0.109754241791442,0.662150594520712,0.593825249068205,0.144881653661041,0.67653544852721,0.608106382994834,0.109764963089698,0.676452271839268,0.608045062880175,0.109754241791442,0.0405052606907752,0.000103891597903845,1.38777878078145e-17
136,0.664256329337861,0.597082452610064,0.107775452632689,0.649929223258419,0.582839781557226,0.142898738691072,0.664339634654822,0.597143888345948,0.107786194800977,0.664256329337861,0.597082452610064,0.107775452632689,0.0405186977933626,0.000104064978052551,1.38777878078145e-17
137,0.652280270810398,0.586317490230013,0.105832339603355,0.637928194432137,0.572052374035738,0.140951574235896,0.652363702437291,0.586379039502555,0.105843102265404,0.652280270810398,0.586317490230013,0.105832339603355,0.0405319167765241,0.000104235234977259,0
138,0.640520131908682,0.575746612292371,0.103924259488773,0.626143535427929,0.561459455626235,0.139039515739734,0.64060368756823,0.575808273054587,0.103935042275094,0.640520131908682,0.575746612292371,0.103924259488773,0.0405449206873537,0.000104402424878654,0
139,0.62897201975884,0.565366319595842,0.102050580670968,0.614571345255211,0.551057519831523,0.137161930267677,0.629055697214825,0.565428089837656,0.102061383218736,0.62897201975884,0.565366319595842,0.102050580670968,0.040557712550847,0.000104566602948251,0
